,Feature_0,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Feature_16,Feature_17,Feature_18,Feature_19,Feature_20,Feature_21,Feature_22,Feature_23,Feature_24,Feature_25,Feature_26,Feature_27,Feature_28,Feature_29,Feature_30,Feature_31,Feature_32,Feature_33,Feature_34,Feature_35,Feature_36,Feature_37,Feature_38,Feature_39,Feature_40,Feature_41,Feature_42,Feature_43,Feature_44,Feature_45,Feature_46,Feature_47,Feature_48,Feature_49,Feature_50,Feature_51,Feature_52,Feature_53,Feature_54,Feature_55,Feature_56,Feature_57,Feature_58,Feature_59,Feature_60,Feature_61,Feature_62,Feature_63,Feature_64
0,0,0,13,14,12,15,4,0,0,0,16,5,5,16,5,0,0,0,13,7,15,4,0,0,0,0,11,16,2,0,0,0,0,2,13,10,6,0,0,0,0,8,5,1,15,0,0,0,0,5,8,1,16,0,0,0,0,1,10,16,8,0,0,0,7
1,0,0,7,15,14,6,0,0,0,5,16,5,10,16,4,0,0,6,15,2,10,14,1,0,0,1,13,16,14,1,0,0,0,0,10,13,15,8,0,0,0,0,15,2,3,15,6,0,0,0,15,3,8,15,6,0,0,0,6,16,11,4,0,0,7
2,0,1,13,16,16,16,12,1,0,6,16,14,12,11,5,0,0,2,15,15,5,0,0,0,0,0,8,14,15,1,0,0,0,0,0,3,16,6,0,0,0,0,0,3,16,5,0,0,0,0,7,10,16,4,0,0,0,0,15,16,10,0,0,0,6
3,0,0,2,13,16,8,0,0,0,1,13,16,10,7,0,0,0,5,16,9,0,0,0,0,0,7,16,7,0,0,0,0,0,9,16,16,13,1,0,0,0,5,16,6,14,9,0,0,0,0,13,12,14,15,0,0,0,0,3,12,16,11,0,0,6
4,0,0,0,12,8,0,0,0,0,0,6,16,3,12,4,0,0,1,16,5,8,14,0,0,0,9,15,0,13,10,2,0,0,10,15,12,16,16,9,0,0,6,16,16,15,9,1,0,0,0,0,14,5,0,0,0,0,0,0,15,0,0,0,0,7
5,0,0,0,9,16,9,0,0,0,0,3,15,5,16,0,0,0,0,7,12,7,12,0,0,0,0,1,16,16,5,0,0,0,0,2,16,14,1,0,0,0,3,16,8,9,11,0,0,0,0,12,13,4,12,8,0,0,0,0,8,14,16,14,0,7
6,0,0,5,12,16,7,0,0,0,5,14,4,9,15,5,0,0,4,13,6,14,6,2,0,0,1,14,16,2,0,0,0,0,3,15,12,9,0,0,0,0,5,12,0,10,7,0,0,0,3,15,4,2,15,0,0,0,0,5,14,14,7,0,0,7
7,0,0,0,6,14,3,0,0,0,0,2,16,11,0,0,0,0,0,11,15,2,0,0,0,0,1,15,13,2,0,0,0,0,3,16,16,16,7,0,0,0,4,16,14,8,13,7,0,0,0,12,16,5,12,10,0,0,0,0,8,14,13,5,0,6
8,0,0,8,12,16,16,9,0,0,4,16,16,13,9,2,0,0,11,14,4,0,0,0,0,0,7,15,10,1,0,0,0,0,0,12,16,13,1,0,0,0,0,0,4,16,4,0,0,0,0,5,10,16,3,0,0,0,0,9,16,10,0,0,0,6
9,0,4,16,16,16,15,3,0,0,11,16,14,8,8,1,0,0,12,14,3,0,0,0,0,0,8,16,4,0,0,0,0,0,2,16,9,0,0,0,0,0,0,10,12,0,0,0,0,0,1,14,11,0,0,0,0,0,5,16,3,0,0,0,0,0
