,Feature_0,Feature_1,Feature_2,Feature_3,Feature_4
0,5.8,2.8,5.1,2.4,2
1,6.4,2.9,4.3,1.3,1
2,4.9,3.1,1.5,0.1,0
3,5.6,3,4.1,1.3,1
4,5,3,1.6,0.2,0
5,5.4,3.9,1.7,0.4,0
6,5.3,3.7,1.5,0.2,0
7,7.7,3.8,6.7,2.2,2
8,6,2.7,5.1,1.6,1
9,7.6,3,6.6,2.1,2
10,5.2,3.5,1.5,0.2,0
11,5.6,2.9,3.6,1.3,1
12,6.1,3,4.6,1.4,1
13,5,3.2,1.2,0.2,0
14,4.9,3,1.4,0.2,0
15,4.6,3.6,1,0.2,0
16,5.7,2.8,4.1,1.3,1
17,4.8,3,1.4,0.1,0
18,5.4,3.7,1.5,0.2,0
19,6,2.2,4,1,1
20,5.8,4,1.2,0.2,0
21,5.5,3.5,1.3,0.2,0
22,6.6,2.9,4.6,1.3,1
23,6.4,2.8,5.6,2.2,2
24,6.2,2.8,4.8,1.8,2
25,5.7,2.9,4.2,1.3,1
26,6.5,2.8,4.6,1.5,1
27,5,3.3,1.4,0.2,0
28,6.4,3.1,5.5,1.8,2
29,7.7,2.8,6.7,2,2
