,Feature_0,Feature_1,Feature_2,Feature_3,Feature_4
0,5.8,2.8,5.1,2.4,1789-09-14
1,6.4,2.9,4.3,1.3,1789-08-14
2,4.9,3.1,1.5,0.1,1789-07-14
3,5.6,3,4.1,1.3,1789-08-14
4,5,3,1.6,0.2,1789-07-14
5,5.4,3.9,1.7,0.4,1789-07-14
6,5.3,3.7,1.5,0.2,1789-07-14
7,7.7,3.8,6.7,2.2,1789-09-14
8,6,2.7,5.1,1.6,1789-08-14
9,7.6,3,6.6,2.1,1789-09-14
10,5.2,3.5,1.5,0.2,1789-07-14
11,5.6,2.9,3.6,1.3,1789-08-14
12,6.1,3,4.6,1.4,1789-08-14
13,5,3.2,1.2,0.2,1789-07-14
14,4.9,3,1.4,0.2,1789-07-14
15,4.6,3.6,1,0.2,1789-07-14
16,5.7,2.8,4.1,1.3,1789-08-14
17,4.8,3,1.4,0.1,1789-07-14
18,5.4,3.7,1.5,0.2,1789-07-14
19,6,2.2,4,1,1789-08-14
20,5.8,4,1.2,0.2,1789-07-14
21,5.5,3.5,1.3,0.2,1789-07-14
22,6.6,2.9,4.6,1.3,1789-08-14
23,6.4,2.8,5.6,2.2,1789-09-14
24,6.2,2.8,4.8,1.8,1789-09-14
25,5.7,2.9,4.2,1.3,1789-08-14
26,6.5,2.8,4.6,1.5,1789-08-14
27,5,3.3,1.4,0.2,1789-07-14
28,6.4,3.1,5.5,1.8,1789-09-14
29,7.7,2.8,6.7,2,1789-09-14
